"","A1_1","A1_2","A1_3","B1_1","B1_2","B1_3","C1_1","C1_2","C1_3"
"Glyma.09G083100.Wm82.a2.v1",176,184,210,194,159,142,185,151,112
"Glyma.09G083200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G083300.Wm82.a2.v1",171,78,167,141,78,132,82,65,59
"Glyma.09G083400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G083500.Wm82.a2.v1",68,42,78,36,56,56,48,42,37
"Glyma.09G083600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G083700.Wm82.a2.v1",624,359,422,120,130,67,79,41,66
"Glyma.09G083800.Wm82.a2.v1",425,208,333,316,297,232,119,151,143
"Glyma.09G083900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G084000.Wm82.a2.v1",6,0,1,1,0,2,0,1,0
"Glyma.09G084100.Wm82.a2.v1",267,76,223,234,121,178,158,153,74
"Glyma.09G084200.Wm82.a2.v1",315,749,459,136,156,30,10,8,0
"Glyma.09G084300.Wm82.a2.v1",882,475,740,518,418,443,164,145,140
"Glyma.09G084400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G084500.Wm82.a2.v1",133,35,165,100,32,56,61,31,43
"Glyma.09G084600.Wm82.a2.v1",421,165,370,358,222,336,312,341,380
"Glyma.09G084700.Wm82.a2.v1",0,6,6,4,0,0,0,0,0
"Glyma.09G084800.Wm82.a2.v1",465,193,281,380,362,312,490,438,417
"Glyma.09G084900.Wm82.a2.v1",1,1,6,0,0,0,0,0,0
"Glyma.09G085000.Wm82.a2.v1",314,161,247,169,127,116,90,95,105
"Glyma.09G085100.Wm82.a2.v1",0,0,0,0,0,1,0,0,0
"Glyma.09G085200.Wm82.a2.v1",810,581,775,650,562,469,379,237,305
"Glyma.09G085300.Wm82.a2.v1",645,424,587,553,369,457,476,353,362
"Glyma.09G085400.Wm82.a2.v1",0,0,4,0,0,0,0,0,0
"Glyma.09G085500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G085600.Wm82.a2.v1",4,12,16,0,16,1,0,0,0
"Glyma.09G085700.Wm82.a2.v1",641,465,488,513,731,716,833,713,754
"Glyma.09G085800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G085900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G086000.Wm82.a2.v1",681,487,528,510,673,463,420,259,315
"Glyma.09G086100.Wm82.a2.v1",446,361,383,602,438,561,376,307,329
"Glyma.09G086200.Wm82.a2.v1",531,285,368,192,238,171,261,261,252
"Glyma.09G086300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G086400.Wm82.a2.v1",0,0,1,0,0,0,0,0,0
"Glyma.09G086500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G086600.Wm82.a2.v1",100,49,122,72,46,41,46,20,22
"Glyma.09G086700.Wm82.a2.v1",4,2,2,5,2,3,9,7,2
"Glyma.09G086800.Wm82.a2.v1",299,223,239,207,258,204,125,118,71
"Glyma.09G086900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G087000.Wm82.a2.v1",3,0,0,0,0,0,0,0,0
"Glyma.09G087100.Wm82.a2.v1",31,17,16,7,4,17,3,7,0
"Glyma.09G087200.Wm82.a2.v1",35,69,88,247,209,195,404,210,160
"Glyma.09G087300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G087400.Wm82.a2.v1",372,236,349,173,334,126,179,46,23
"Glyma.09G087500.Wm82.a2.v1",1,0,0,7,8,7,3,9,14
"Glyma.09G087600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G087700.Wm82.a2.v1",847,1549,709,873,1084,920,347,206,156
"Glyma.09G087800.Wm82.a2.v1",19,15,13,8,10,16,5,2,1
"Glyma.09G087900.Wm82.a2.v1",925,532,755,849,650,696,737,586,536
"Glyma.09G088000.Wm82.a2.v1",58,27,74,102,76,97,80,68,72
"Glyma.09G088100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G088200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G088300.Wm82.a2.v1",335,222,341,346,232,264,169,123,132
"Glyma.09G088400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G088500.Wm82.a2.v1",84,30,77,39,37,59,40,17,22
"Glyma.09G088600.Wm82.a2.v1",0,0,0,0,0,1,0,0,0
"Glyma.09G088700.Wm82.a2.v1",917,674,865,661,442,479,473,413,430
"Glyma.09G088800.Wm82.a2.v1",0,2,0,1,0,0,2,0,0
"Glyma.09G088900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G089000.Wm82.a2.v1",49,29,47,24,19,20,9,7,6
"Glyma.09G089100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G089200.Wm82.a2.v1",98,39,61,64,35,58,55,68,46
"Glyma.09G089300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G089400.Wm82.a2.v1",415,277,350,409,300,391,258,300,328
"Glyma.09G089500.Wm82.a2.v1",52,59,51,51,105,70,72,31,19
"Glyma.09G089600.Wm82.a2.v1",1522,1710,1498,1475,1438,1059,422,287,340
"Glyma.09G089700.Wm82.a2.v1",753,414,563,456,446,456,385,365,196
"Glyma.09G089800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G089900.Wm82.a2.v1",159,95,131,65,97,51,59,67,42
"Glyma.09G090000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G090100.Wm82.a2.v1",86,65,80,75,47,195,33,26,17
"Glyma.09G090200.Wm82.a2.v1",165,103,118,143,133,88,119,115,68
"Glyma.09G090300.Wm82.a2.v1",185,169,151,237,248,231,182,162,184
"Glyma.09G090400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G090500.Wm82.a2.v1",1,0,0,0,12,5,0,1,0
"Glyma.09G090600.Wm82.a2.v1",9426,5980,6040,551,923,373,193,130,41
"Glyma.09G090700.Wm82.a2.v1",75,119,91,48,53,31,21,11,19
"Glyma.09G090800.Wm82.a2.v1",14,4,10,2,5,0,0,1,0
"Glyma.09G090900.Wm82.a2.v1",623,333,471,449,599,532,469,374,370
"Glyma.09G091000.Wm82.a2.v1",732,701,700,596,691,750,494,397,449
"Glyma.09G091100.Wm82.a2.v1",2829,1430,1984,1525,1621,1198,922,499,364
"Glyma.09G091200.Wm82.a2.v1",236,189,176,162,94,66,56,25,25
"Glyma.09G091300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G091400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G091500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G091600.Wm82.a2.v1",222,176,153,146,218,201,61,63,47
"Glyma.09G091700.Wm82.a2.v1",277,115,178,198,194,164,182,160,109
"Glyma.09G091800.Wm82.a2.v1",33,5,38,26,28,18,53,42,15
"Glyma.09G091900.Wm82.a2.v1",658,300,393,302,253,141,124,136,122
"Glyma.09G092000.Wm82.a2.v1",6,20,5,4,11,4,1,0,3
"Glyma.09G092100.Wm82.a2.v1",544,760,682,614,477,480,341,287,281
"Glyma.09G092200.Wm82.a2.v1",1,0,0,0,0,0,0,0,0
"Glyma.09G092300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G092400.Wm82.a2.v1",0,6,0,1,5,4,9,3,1
"Glyma.09G092500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G092600.Wm82.a2.v1",321,194,343,136,120,80,26,23,36
"Glyma.09G092700.Wm82.a2.v1",204782,333257,200489,360915,168892,90540,3467,1486,313
"Glyma.09G092800.Wm82.a2.v1",0,1,1,0,0,0,0,0,0
"Glyma.09G092900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G093000.Wm82.a2.v1",142,109,54,37,42,20,4009,2682,812
"Glyma.09G093100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G093200.Wm82.a2.v1",3,13,9,1,0,0,1,0,0
"Glyma.09G093300.Wm82.a2.v1",6,0,0,0,1,0,5,0,5
"Glyma.09G093400.Wm82.a2.v1",3933,3376,3536,4336,4523,3147,2068,1810,1117
"Glyma.09G093500.Wm82.a2.v1",5,0,6,0,0,0,0,0,0
"Glyma.09G093600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G093700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G093800.Wm82.a2.v1",0,0,0,0,0,0,2,1,1
"Glyma.09G093900.Wm82.a2.v1",110,51,46,48,27,51,72,44,21
"Glyma.09G094000.Wm82.a2.v1",29,11,16,53,36,74,200,215,208
"Glyma.09G094100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G094200.Wm82.a2.v1",850,543,603,710,761,577,478,344,396
"Glyma.09G094300.Wm82.a2.v1",451,280,343,555,664,541,521,383,369
"Glyma.09G094400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G094500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G094600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G094700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G094800.Wm82.a2.v1",924,781,686,647,806,685,406,371,345
"Glyma.09G094900.Wm82.a2.v1",254,351,247,76,83,107,79,94,44
"Glyma.09G095000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G095100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G095200.Wm82.a2.v1",100,164,148,95,123,98,211,106,70
"Glyma.09G095300.Wm82.a2.v1",1,0,0,0,0,0,1,1,3
"Glyma.09G095400.Wm82.a2.v1",205,241,181,240,199,133,80,38,48
"Glyma.09G095500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G095600.Wm82.a2.v1",0,1,5,0,0,0,0,0,0
"Glyma.09G095700.Wm82.a2.v1",5,4,6,6,1,0,20,7,0
"Glyma.09G095800.Wm82.a2.v1",41,27,31,1,10,0,0,0,2
"Glyma.09G095900.Wm82.a2.v1",12,17,18,16,5,8,2,6,5
"Glyma.09G096000.Wm82.a2.v1",1,0,0,4,0,1,0,2,0
"Glyma.09G096100.Wm82.a2.v1",0,0,0,0,0,2,0,0,0
"Glyma.09G096200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G096300.Wm82.a2.v1",26,16,10,15,6,16,18,7,2
"Glyma.09G096400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G096500.Wm82.a2.v1",137,91,234,66,69,25,49,49,16
"Glyma.09G096600.Wm82.a2.v1",106,21,34,6,25,26,19,28,21
"Glyma.09G096700.Wm82.a2.v1",1772,1709,1685,1818,1583,1273,1729,1366,1122
"Glyma.09G096800.Wm82.a2.v1",641,433,688,475,416,350,157,126,144
"Glyma.09G096900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G097000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G097100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G097200.Wm82.a2.v1",197,101,121,108,106,113,71,83,57
"Glyma.09G097300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G097400.Wm82.a2.v1",27,17,0,3,5,6,7,2,3
"Glyma.09G097500.Wm82.a2.v1",229,244,248,278,193,153,159,114,185
"Glyma.09G097600.Wm82.a2.v1",1240,590,1145,900,716,875,981,831,765
"Glyma.09G097700.Wm82.a2.v1",525,543,528,364,410,423,424,290,271
"Glyma.09G097800.Wm82.a2.v1",0,0,1,0,0,0,0,0,0
"Glyma.09G097900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G098000.Wm82.a2.v1",191,85,140,23,24,21,33,29,26
"Glyma.09G098100.Wm82.a2.v1",0,2,0,0,0,0,0,0,0
"Glyma.09G098200.Wm82.a2.v1",0,0,0,0,0,0,1,0,0
"Glyma.09G098300.Wm82.a2.v1",1466,1205,1276,742,760,400,134,86,284
"Glyma.09G098400.Wm82.a2.v1",18,19,19,65,34,46,13,15,15
"Glyma.09G098500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G098600.Wm82.a2.v1",301,178,185,284,245,163,177,152,129
"Glyma.09G098700.Wm82.a2.v1",68,37,84,48,45,91,78,52,76
"Glyma.09G098800.Wm82.a2.v1",557,436,409,196,250,183,263,273,176
"Glyma.09G098900.Wm82.a2.v1",20,7,3,5,1,38,47,32,37
"Glyma.09G099000.Wm82.a2.v1",50,108,46,154,130,137,68,35,70
"Glyma.09G099100.Wm82.a2.v1",4,0,0,0,0,0,0,0,0
"Glyma.09G099200.Wm82.a2.v1",12,0,0,0,0,0,0,0,1
"Glyma.09G099300.Wm82.a2.v1",110,69,66,65,70,48,31,38,30
"Glyma.09G099400.Wm82.a2.v1",215,143,206,236,203,240,183,165,132
"Glyma.09G099500.Wm82.a2.v1",14,18,2,3,15,3,0,3,1
"Glyma.09G099600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G099700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G099800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G099900.Wm82.a2.v1",2,0,9,19,39,23,192,241,12
"Glyma.09G100000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G100100.Wm82.a2.v1",18,37,6,37,78,28,33,31,33
"Glyma.09G100200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G100300.Wm82.a2.v1",25,11,22,18,15,12,26,12,20
"Glyma.09G100400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G100500.Wm82.a2.v1",53,18,35,0,3,0,0,0,0
"Glyma.09G100600.Wm82.a2.v1",8,6,17,0,0,0,0,0,0
"Glyma.09G100700.Wm82.a2.v1",38,15,32,0,2,0,0,0,0
"Glyma.09G100800.Wm82.a2.v1",10,16,8,0,0,0,0,0,0
"Glyma.09G100900.Wm82.a2.v1",1,3,4,0,0,0,0,0,0
"Glyma.09G101000.Wm82.a2.v1",1,1,1,0,4,2,0,1,1
"Glyma.09G101100.Wm82.a2.v1",194,103,176,371,382,479,446,294,225
"Glyma.09G101200.Wm82.a2.v1",584,252,399,331,260,275,263,263,229
"Glyma.09G101300.Wm82.a2.v1",325,227,219,277,235,206,271,260,146
"Glyma.09G101400.Wm82.a2.v1",11,5,4,0,4,2,1,5,3
"Glyma.09G101500.Wm82.a2.v1",8,3,6,5,1,5,6,14,4
"Glyma.09G101600.Wm82.a2.v1",13,0,6,1,0,18,3,0,0
"Glyma.09G101700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G101800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G101900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G102000.Wm82.a2.v1",83,104,72,94,77,63,28,40,40
"Glyma.09G102100.Wm82.a2.v1",24,16,39,4,14,2,24,19,4
"Glyma.09G102200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G102300.Wm82.a2.v1",97,23,69,9,0,0,0,0,0
"Glyma.09G102400.Wm82.a2.v1",0,0,1,0,0,0,3,0,3
"Glyma.09G102500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G102600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G102700.Wm82.a2.v1",0,0,0,0,0,0,0,1,1
"Glyma.09G102800.Wm82.a2.v1",630,575,475,243,256,157,283,231,23
"Glyma.09G102900.Wm82.a2.v1",1547,794,1157,506,457,358,219,141,144
"Glyma.09G103000.Wm82.a2.v1",671,427,642,440,441,383,442,410,342
"Glyma.09G103100.Wm82.a2.v1",876,527,681,973,701,865,604,610,598
"Glyma.09G103200.Wm82.a2.v1",1,0,0,0,0,0,0,0,0
"Glyma.09G103300.Wm82.a2.v1",312,174,242,263,150,240,191,163,141
"Glyma.09G103400.Wm82.a2.v1",4016,2580,2786,3368,3013,3072,2299,2131,1976
"Glyma.09G103500.Wm82.a2.v1",152,33,148,106,162,56,88,62,59
"Glyma.09G103600.Wm82.a2.v1",4,0,0,0,0,1,1,0,1
"Glyma.09G103700.Wm82.a2.v1",526,428,365,234,245,162,105,113,67
"Glyma.09G103800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G103900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G104000.Wm82.a2.v1",1085,237,662,1087,740,839,593,621,735
"Glyma.09G104100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G104200.Wm82.a2.v1",1676,1296,1261,401,571,190,251,264,125
"Glyma.09G104300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G104400.Wm82.a2.v1",0,4,9,0,1,0,0,0,0
"Glyma.09G104500.Wm82.a2.v1",10,6,7,1,21,5,36,10,1
"Glyma.09G104600.Wm82.a2.v1",158,68,177,139,80,105,50,33,65
"Glyma.09G104700.Wm82.a2.v1",55,38,32,69,61,58,60,38,25
"Glyma.09G104800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G104900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G105000.Wm82.a2.v1",844,698,683,867,666,659,573,485,412
"Glyma.09G105100.Wm82.a2.v1",1,1,0,0,0,0,0,0,0
"Glyma.09G105200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G105300.Wm82.a2.v1",745,491,493,429,507,304,365,243,211
"Glyma.09G105400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G105500.Wm82.a2.v1",128,152,102,82,94,71,111,105,118
"Glyma.09G105600.Wm82.a2.v1",1058,502,661,603,598,408,493,413,361
"Glyma.09G105700.Wm82.a2.v1",0,0,0,1,0,0,0,0,0
"Glyma.09G105800.Wm82.a2.v1",13,5,13,6,3,21,15,1,3
"Glyma.09G105900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106000.Wm82.a2.v1",13,0,1,0,0,0,0,0,0
"Glyma.09G106100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G106900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G107000.Wm82.a2.v1",923,699,758,934,905,798,735,630,683
"Glyma.09G107100.Wm82.a2.v1",62,64,26,21,30,14,4,0,19
"Glyma.09G107200.Wm82.a2.v1",132,54,74,59,85,63,44,54,50
"Glyma.09G107300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G107400.Wm82.a2.v1",292,258,228,643,606,468,297,189,126
"Glyma.09G107500.Wm82.a2.v1",0,0,0,1,0,0,1,1,1
"Glyma.09G107600.Wm82.a2.v1",172,167,102,168,192,204,154,176,175
"Glyma.09G107700.Wm82.a2.v1",8,22,20,23,18,15,19,15,28
"Glyma.09G107800.Wm82.a2.v1",0,8,0,0,0,0,0,0,3
"Glyma.09G107900.Wm82.a2.v1",2,0,4,0,4,0,1,0,0
"Glyma.09G108000.Wm82.a2.v1",130,114,205,90,110,95,113,102,88
"Glyma.09G108100.Wm82.a2.v1",287,107,174,6,14,1,6,1,2
"Glyma.09G108200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G108300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G108400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G108500.Wm82.a2.v1",1,0,0,1,0,0,0,0,0
"Glyma.09G108600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G108700.Wm82.a2.v1",13,3,2,9,3,9,3,3,4
"Glyma.09G108800.Wm82.a2.v1",25,9,10,20,15,25,14,12,11
"Glyma.09G108900.Wm82.a2.v1",13,12,5,7,5,7,6,2,4
"Glyma.09G109000.Wm82.a2.v1",620,328,581,597,394,586,541,385,334
"Glyma.09G109100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G109200.Wm82.a2.v1",328,294,277,170,131,87,166,98,35
"Glyma.09G109300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G109400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G109500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G109600.Wm82.a2.v1",39,6,37,11,67,27,70,72,9
"Glyma.09G109700.Wm82.a2.v1",276,268,427,225,187,122,42,45,20
"Glyma.09G109800.Wm82.a2.v1",0,0,0,5,6,28,57,78,6
"Glyma.09G109900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G110000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G110100.Wm82.a2.v1",107,89,125,13,21,8,7,14,1
"Glyma.09G110200.Wm82.a2.v1",0,0,0,0,2,0,1,0,0
"Glyma.09G110300.Wm82.a2.v1",3,0,2,1,1,1,2,0,0
"Glyma.09G110400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G110500.Wm82.a2.v1",0,0,1,0,0,0,0,0,0
"Glyma.09G110600.Wm82.a2.v1",53,3,20,0,0,2,1,1,0
"Glyma.09G110700.Wm82.a2.v1",2,0,9,0,0,0,1,0,0
"Glyma.09G110800.Wm82.a2.v1",81,59,52,47,52,61,54,30,53
"Glyma.09G110900.Wm82.a2.v1",39,22,11,66,68,50,66,24,36
"Glyma.09G111000.Wm82.a2.v1",109,32,87,78,62,61,26,24,25
"Glyma.09G111100.Wm82.a2.v1",0,0,0,0,3,0,0,0,0
"Glyma.09G111200.Wm82.a2.v1",108,103,38,158,181,169,175,111,108
"Glyma.09G111300.Wm82.a2.v1",739,321,529,147,229,158,214,129,39
"Glyma.09G111400.Wm82.a2.v1",589,649,513,575,570,686,485,384,411
"Glyma.09G111500.Wm82.a2.v1",69,56,35,5,2,0,1,5,1
"Glyma.09G111600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G111700.Wm82.a2.v1",325,181,201,299,204,239,196,155,150
"Glyma.09G111800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G111900.Wm82.a2.v1",2,4,7,3,24,11,77,47,1
"Glyma.09G112000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G112100.Wm82.a2.v1",42,32,10,15,8,6,0,4,1
"Glyma.09G112200.Wm82.a2.v1",1270,558,1072,915,631,714,768,557,675
"Glyma.09G112300.Wm82.a2.v1",0,0,3,0,0,0,2,3,0
"Glyma.09G112400.Wm82.a2.v1",1005,691,610,603,467,477,343,293,231
"Glyma.09G112500.Wm82.a2.v1",628,395,434,350,348,334,278,241,181
"Glyma.09G112600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G112700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G112800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G112900.Wm82.a2.v1",8,1,2,1,0,1,2,3,1
"Glyma.09G113000.Wm82.a2.v1",0,0,0,0,1,0,0,2,2
"Glyma.09G113100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G113200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G113300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G113400.Wm82.a2.v1",7,0,3,3,2,4,2,4,2
"Glyma.09G113500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G113600.Wm82.a2.v1",3,0,0,1,3,1,1,0,2
"Glyma.09G113700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G113800.Wm82.a2.v1",34,14,32,22,31,8,7,10,23
"Glyma.09G113900.Wm82.a2.v1",1,0,0,0,0,5,0,0,0
"Glyma.09G114000.Wm82.a2.v1",664,507,507,376,352,264,205,185,126
"Glyma.09G114100.Wm82.a2.v1",122,144,103,191,130,139,121,96,149
"Glyma.09G114200.Wm82.a2.v1",0,1,0,1,0,0,0,0,0
"Glyma.09G114300.Wm82.a2.v1",19,30,21,19,13,21,11,7,9
"Glyma.09G114400.Wm82.a2.v1",12,1,0,12,5,1,14,4,2
"Glyma.09G114500.Wm82.a2.v1",515,409,572,504,485,459,519,382,408
"Glyma.09G114600.Wm82.a2.v1",690,592,590,341,317,283,191,126,135
"Glyma.09G114700.Wm82.a2.v1",57,21,66,52,38,57,58,39,51
"Glyma.09G114800.Wm82.a2.v1",22,4,5,0,9,1,2,0,1
"Glyma.09G114900.Wm82.a2.v1",12,0,17,10,7,18,0,1,5
"Glyma.09G115000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G115100.Wm82.a2.v1",121,58,78,494,154,129,50,42,23
"Glyma.09G115200.Wm82.a2.v1",9,0,0,14,0,14,4,1,1
"Glyma.09G115300.Wm82.a2.v1",408,310,591,288,207,137,151,118,172
"Glyma.09G115400.Wm82.a2.v1",4,0,0,1,0,0,0,1,0
"Glyma.09G115500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G115600.Wm82.a2.v1",299,162,247,264,165,205,156,118,162
"Glyma.09G115700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G115800.Wm82.a2.v1",20,24,49,14,33,32,24,27,12
"Glyma.09G115900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G116000.Wm82.a2.v1",301,191,183,210,150,208,257,166,94
"Glyma.09G116100.Wm82.a2.v1",193,133,193,151,142,111,44,47,22
"Glyma.09G116200.Wm82.a2.v1",48,27,87,55,66,49,35,31,26
"Glyma.09G116300.Wm82.a2.v1",53,15,28,52,44,43,46,26,29
"Glyma.09G116400.Wm82.a2.v1",270,226,210,454,451,473,416,274,322
"Glyma.09G116500.Wm82.a2.v1",1007,1186,815,695,618,610,693,571,669
"Glyma.09G116600.Wm82.a2.v1",247,270,254,203,163,199,115,114,107
"Glyma.09G116700.Wm82.a2.v1",1002,1190,773,556,517,362,439,309,403
"Glyma.09G116800.Wm82.a2.v1",4,5,2,3,0,4,1,2,0
"Glyma.09G116900.Wm82.a2.v1",79,36,60,62,45,56,40,40,38
"Glyma.09G117000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.09G117100.Wm82.a2.v1",266,344,184,271,334,335,304,245,166
"Glyma.09G117200.Wm82.a2.v1",9,11,1,1,1,0,0,0,1
"Glyma.09G117300.Wm82.a2.v1",147,65,68,108,89,104,66,33,43
"Glyma.09G117400.Wm82.a2.v1",57,21,33,38,49,13,3,1,4
"Glyma.09G117500.Wm82.a2.v1",2,16,38,1,5,0,0,0,1
"Glyma.09G117600.Wm82.a2.v1",68,90,70,92,81,82,71,45,43
