"","A1_1","A1_2","A1_3","B1_1","B1_2","B1_3","C1_1","C1_2","C1_3"
"Glyma.01G015100.Wm82.a2.v1",1254,911,810,962,738,648,509,369,282
"Glyma.01G015200.Wm82.a2.v1",105,42,92,43,33,48,48,21,22
"Glyma.01G015300.Wm82.a2.v1",120,108,112,117,114,67,95,89,62
"Glyma.01G015400.Wm82.a2.v1",1152,802,821,394,345,390,237,130,166
"Glyma.01G015500.Wm82.a2.v1",478,397,405,617,385,456,341,235,234
"Glyma.01G015600.Wm82.a2.v1",167,219,179,266,170,193,275,177,192
"Glyma.01G015700.Wm82.a2.v1",129,110,84,62,51,46,39,39,34
"Glyma.01G015800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G015900.Wm82.a2.v1",180,75,153,198,153,201,158,153,166
"Glyma.01G016000.Wm82.a2.v1",16,0,3,0,6,16,5,7,3
"Glyma.01G016100.Wm82.a2.v1",25,10,19,16,12,34,23,34,38
"Glyma.01G016200.Wm82.a2.v1",80,27,47,38,27,23,19,28,19
"Glyma.01G016300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G016400.Wm82.a2.v1",210,125,154,162,67,77,62,51,30
"Glyma.01G016500.Wm82.a2.v1",3015,2073,2742,2690,1885,1145,1178,930,267
"Glyma.01G016600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G016700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G016800.Wm82.a2.v1",381,301,304,124,107,88,118,106,49
"Glyma.01G016900.Wm82.a2.v1",579,347,539,488,521,393,422,383,386
"Glyma.01G017000.Wm82.a2.v1",205,147,135,330,306,456,279,240,258
"Glyma.01G017100.Wm82.a2.v1",201,214,139,189,216,226,334,289,160
"Glyma.01G017200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G017300.Wm82.a2.v1",6,13,16,26,14,27,2,9,6
"Glyma.01G017400.Wm82.a2.v1",196,157,154,107,104,111,45,8,21
"Glyma.01G017500.Wm82.a2.v1",20,35,19,0,0,7,0,0,0
"Glyma.01G017600.Wm82.a2.v1",11,0,8,0,18,0,0,0,0
"Glyma.01G017700.Wm82.a2.v1",144,62,82,76,81,41,239,186,24
"Glyma.01G017800.Wm82.a2.v1",76,32,24,1,1,10,7,5,16
"Glyma.01G017900.Wm82.a2.v1",90,81,93,15,26,36,35,20,19
"Glyma.01G018000.Wm82.a2.v1",0,0,0,0,0,0,10,3,3
"Glyma.01G018100.Wm82.a2.v1",131,164,89,15,41,10,0,0,3
"Glyma.01G018200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G018300.Wm82.a2.v1",271,211,308,271,217,213,84,133,103
"Glyma.01G018400.Wm82.a2.v1",901,1150,1428,1152,894,905,954,700,779
"Glyma.01G018500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G018600.Wm82.a2.v1",317,233,211,243,291,232,138,117,135
"Glyma.01G018700.Wm82.a2.v1",436,265,355,273,208,253,188,142,129
"Glyma.01G018800.Wm82.a2.v1",305,374,254,219,175,96,149,112,72
"Glyma.01G018900.Wm82.a2.v1",0,0,3,0,0,0,0,0,0
"Glyma.01G019000.Wm82.a2.v1",196,59,181,239,184,137,333,274,107
"Glyma.01G019100.Wm82.a2.v1",150,174,181,623,577,673,512,542,550
"Glyma.01G019200.Wm82.a2.v1",295,202,236,241,161,270,184,242,214
"Glyma.01G019300.Wm82.a2.v1",194,169,154,28,35,27,23,54,17
"Glyma.01G019400.Wm82.a2.v1",1479,939,1215,452,481,351,497,423,135
"Glyma.01G019500.Wm82.a2.v1",40,49,38,31,43,14,229,173,13
"Glyma.01G019600.Wm82.a2.v1",168,57,130,84,57,71,119,63,56
"Glyma.01G019700.Wm82.a2.v1",3372,2273,2341,1291,1098,1011,531,438,434
"Glyma.01G019800.Wm82.a2.v1",1373,2182,1372,986,628,490,366,318,192
"Glyma.01G019900.Wm82.a2.v1",153,70,76,143,139,135,68,67,74
"Glyma.01G020000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G020100.Wm82.a2.v1",12,16,9,15,18,17,1,10,12
"Glyma.01G020200.Wm82.a2.v1",67,116,86,64,91,62,46,38,40
"Glyma.01G020300.Wm82.a2.v1",1167,683,954,1220,806,941,770,649,578
"Glyma.01G020400.Wm82.a2.v1",15,30,9,0,8,3,6,1,2
"Glyma.01G020500.Wm82.a2.v1",0,0,6,0,0,1,0,1,0
"Glyma.01G020600.Wm82.a2.v1",1,0,0,0,0,4,0,0,0
"Glyma.01G020700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G020800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G020900.Wm82.a2.v1",226,531,324,513,530,741,736,542,1039
"Glyma.01G021000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G021100.Wm82.a2.v1",222,115,101,29,25,13,0,1,1
"Glyma.01G021200.Wm82.a2.v1",705,240,561,75,88,66,27,22,40
"Glyma.01G021300.Wm82.a2.v1",377,325,420,423,349,333,219,230,181
"Glyma.01G021400.Wm82.a2.v1",807,500,893,1041,700,828,665,576,579
"Glyma.01G021500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G021600.Wm82.a2.v1",1029,1006,1057,729,512,529,546,515,520
"Glyma.01G021700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G021800.Wm82.a2.v1",0,0,0,1,1,1,0,0,0
"Glyma.01G021900.Wm82.a2.v1",0,0,0,0,0,0,0,1,0
"Glyma.01G022000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G022100.Wm82.a2.v1",1953,1810,1617,1286,1341,1043,401,314,435
"Glyma.01G022200.Wm82.a2.v1",0,10,0,4,0,0,0,0,0
"Glyma.01G022300.Wm82.a2.v1",0,0,6,1,0,8,1,2,5
"Glyma.01G022400.Wm82.a2.v1",56,70,46,68,97,78,92,91,44
"Glyma.01G022500.Wm82.a2.v1",884,523,712,578,479,531,251,205,388
"Glyma.01G022600.Wm82.a2.v1",18,62,24,273,358,230,152,106,55
"Glyma.01G022700.Wm82.a2.v1",476,320,416,135,142,90,97,95,32
"Glyma.01G022800.Wm82.a2.v1",378,194,315,273,185,120,208,218,186
"Glyma.01G022900.Wm82.a2.v1",17,8,7,2,12,1,11,2,5
"Glyma.01G023000.Wm82.a2.v1",147,148,141,62,81,46,46,66,40
"Glyma.01G023100.Wm82.a2.v1",4,0,0,0,0,0,0,0,0
"Glyma.01G023200.Wm82.a2.v1",419,297,448,324,267,230,185,114,76
"Glyma.01G023300.Wm82.a2.v1",1248,1127,1079,824,858,568,676,547,621
"Glyma.01G023400.Wm82.a2.v1",1,0,0,5,0,3,0,0,0
"Glyma.01G023500.Wm82.a2.v1",25,4,17,4,2,28,5,0,9
"Glyma.01G023600.Wm82.a2.v1",383,269,383,330,226,312,227,250,320
"Glyma.01G023700.Wm82.a2.v1",78,82,94,148,119,82,88,87,60
"Glyma.01G023800.Wm82.a2.v1",150,107,106,87,112,90,64,57,59
"Glyma.01G023900.Wm82.a2.v1",360,331,387,354,358,287,284,238,253
"Glyma.01G024000.Wm82.a2.v1",679,848,1359,817,605,533,265,156,189
"Glyma.01G024100.Wm82.a2.v1",0,0,1,0,2,0,0,0,0
"Glyma.01G024200.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G024300.Wm82.a2.v1",0,0,3,0,0,0,6,7,1
