,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
Glyma.10G111600,8.559442732,3.251544237,0.535914709,6.06727933,1.30E-09,1.38E-06,FDR < 0.05
Glyma.05G247100,15.34252852,3.210650794,0.677199026,4.741074148,2.13E-06,0.000428095,FDR < 0.05
Glyma.02G229500,57.16419798,3.197871425,0.488240918,6.549781687,5.76E-11,8.99E-08,FDR < 0.05
Glyma.17G009600,16.39895699,3.158365117,0.745767614,4.235052661,2.28E-05,0.002603202,FDR < 0.05
Glyma.10G228900,4.397547066,3.156189958,0.728049601,4.335130399,1.46E-05,0.001861711,FDR < 0.05
Glyma.15G187300,20.30580179,3.138302307,0.551346284,5.692071204,1.26E-08,8.77E-06,FDR < 0.05
Glyma.03G056000,11.11119998,-3.09703385,0.948413563,-3.265488781,0.001092753,0.041134054,FDR < 0.05
Glyma.09G166700,8.781305019,-3.080446576,0.827989367,-3.720393882,0.000198912,0.012371084,FDR < 0.05
Glyma.05G092400,8.730904099,3.076221913,0.806066648,3.816336924,0.000135448,0.009174476,FDR < 0.05
Glyma.19G206100,57.42242601,3.060449883,0.919375248,3.328836502,0.000872096,0.035178192,FDR < 0.05
Glyma.15G205500,19.91265448,3.026484121,0.472314252,6.407776414,1.48E-10,2.04E-07,FDR < 0.05
Glyma.18G268200,114.5648296,3.019887132,0.620318937,4.868281381,1.13E-06,0.000275907,FDR < 0.05
Glyma.18G144000,47.87358761,3.002795043,0.836297451,3.590582562,0.00032994,0.017484457,FDR < 0.05
Glyma.04G035600,16.40351385,3.000452355,0.741715225,4.045288886,5.23E-05,0.004624331,FDR < 0.05
Glyma.07G121900,504.5139669,2.991738073,0.657905719,4.54736596,5.43E-06,0.000872281,FDR < 0.05
Glyma.01G081900,1040.142726,2.955234314,0.600775041,4.919036427,8.70E-07,0.000231725,FDR < 0.05
Glyma.09G250100,5.353587033,-2.954051027,0.754599133,-3.914728891,9.05E-05,0.006966332,FDR < 0.05
Glyma.04G209700,11.25444985,-2.937802953,0.868872423,-3.381167218,0.000721786,0.031158073,FDR < 0.05
Glyma.01G221200,94.26083476,2.913701198,0.432612145,6.735134997,1.64E-11,3.05E-08,FDR < 0.05
Glyma.04G029600,14.36730423,2.90319745,0.790875217,3.670866637,0.000241729,0.014159417,FDR < 0.05
Glyma.10G010100,9.049358223,-2.890367138,0.801184123,-3.607619089,0.00030902,0.016577867,FDR < 0.05
Glyma.08G275400,66.40444247,2.802677209,0.497919372,5.628777203,1.81E-08,1.21E-05,FDR < 0.05
Glyma.05G229700,21.15859214,-2.797255463,0.663118274,-4.21833566,2.46E-05,0.002720672,FDR < 0.05
Glyma.14G093100,910.8622911,2.776694627,0.67194878,4.132301017,3.59E-05,0.003635805,FDR < 0.05
Glyma.08G327200,101.6137849,2.724233401,0.854319049,3.188777547,0.001428758,0.048787299,FDR < 0.05
Glyma.05G231500,20.49929949,2.687795318,0.431614452,6.227306116,4.75E-10,5.70E-07,FDR < 0.05
Glyma.13G147900,45.29236162,2.631952284,0.550323583,4.782554058,1.73E-06,0.000374883,FDR < 0.05
Glyma.04G208400,7.171503204,2.623207599,0.800472211,3.277075162,0.001048884,0.039750906,FDR < 0.05
Glyma.02G134000,332.9502573,2.61447832,0.536221497,4.8757432,1.08E-06,0.000271028,FDR < 0.05
Glyma.19G150600,9.013249711,2.612784004,0.533980606,4.893031644,9.93E-07,0.000255111,FDR < 0.05
Glyma.09G081600,3.869939823,-2.612680185,0.739270315,-3.534133771,0.000409114,0.020532647,FDR < 0.05
Glyma.15G025700,5.027734343,-2.583944504,0.771887896,-3.34756448,0.00081525,0.033708469,FDR < 0.05
Glyma.10G249100,21.58038225,-2.566339925,0.708037681,-3.624580999,0.00028943,0.015940596,FDR < 0.05
Glyma.18G215500,14.44146051,2.563089629,0.66494772,3.854573153,0.000115932,0.008210875,FDR < 0.05
Glyma.08G073900,28.68696775,2.5531398,0.51768796,4.93181221,8.15E-07,0.000224751,FDR < 0.05
Glyma.15G251500,101.6259971,2.551324535,0.717003083,3.558317384,0.000373238,0.019205268,FDR < 0.05
Glyma.08G070700,8.450894393,2.539383871,0.770272207,3.296735686,0.000978155,0.037998111,FDR < 0.05
Glyma.03G040600,6.868126624,2.535040087,0.589739596,4.298575348,1.72E-05,0.002120511,FDR < 0.05
Glyma.18G091100,28.35236744,2.522581835,0.576608445,4.374861068,1.22E-05,0.001622483,FDR < 0.05
Glyma.15G183000,263.8700528,2.511512588,0.681839805,3.683434978,0.000230112,0.013650625,FDR < 0.05
Glyma.14G201300,31.33468776,2.505325711,0.645610401,3.880553516,0.000104219,0.007718837,FDR < 0.05
Glyma.01G227600,8.148894836,2.496652146,0.673881747,3.704881693,0.000211489,0.012979945,FDR < 0.05
Glyma.13G196500,8.163742753,2.477717658,0.553858758,4.473555077,7.69E-06,0.001137278,FDR < 0.05
Glyma.09G168400,15.51227665,2.469809485,0.680817272,3.627712733,0.000285943,0.015828419,FDR < 0.05
Glyma.13G231900,15.90635897,2.450818782,0.707037342,3.466321561,0.000527632,0.024976361,FDR < 0.05
Glyma.08G024700,276.2330633,2.444195989,0.472253457,5.175602113,2.27E-07,8.30E-05,FDR < 0.05
Glyma.08G233300,234.1201793,2.418713938,0.55426836,4.363795793,1.28E-05,0.00165923,FDR < 0.05
Glyma.03G019300,25.64235069,-2.386526887,0.58885447,-4.052829701,5.06E-05,0.004520674,FDR < 0.05
Glyma.13G324600,57.1222234,2.373154537,0.684518811,3.46689455,0.000526508,0.02495489,FDR < 0.05
Glyma.12G003800,19.55871153,-2.36915162,0.523548558,-4.5251803,6.03E-06,0.00093669,FDR < 0.05
Glyma.03G005300,61.63797389,2.367278049,0.35780205,6.616166806,3.69E-11,6.54E-08,FDR < 0.05
Glyma.04G032200,55.25114388,2.365636199,0.349056714,6.777225891,1.23E-11,2.40E-08,FDR < 0.05
Glyma.02G232400,13.67931706,-2.359645093,0.734210663,-3.213852934,0.001309667,0.045812532,FDR < 0.05
Glyma.15G176900,262.0534596,2.333129494,0.330881315,7.051257932,1.77E-12,4.40E-09,FDR < 0.05
Glyma.01G204700,58.29892138,2.331430929,0.51858255,4.495775902,6.93E-06,0.001049726,FDR < 0.05
Glyma.02G260400,32.86848384,2.29078717,0.428779558,5.342575521,9.16E-08,3.88E-05,FDR < 0.05
Glyma.06G050200,12.80599007,-2.285197187,0.698988517,-3.269291454,0.001078172,0.040695251,FDR < 0.05
Glyma.05G173500,29.20009794,2.281250195,0.47815097,4.770983092,1.83E-06,0.000388053,FDR < 0.05
Glyma.05G241300,76.97244296,2.280692611,0.475981958,4.791552643,1.65E-06,0.000364815,FDR < 0.05
Glyma.15G043600,95.2896444,-2.275177249,0.630348792,-3.609394162,0.000306913,0.016546651,FDR < 0.05
Glyma.14G216100,95.31237556,2.257222574,0.403413592,5.595306196,2.20E-08,1.39E-05,FDR < 0.05
Glyma.17G072600,9.751390933,2.253023332,0.588047574,3.831362345,0.000127436,0.008807956,FDR < 0.05
Glyma.17G065200,28.43901016,2.246064865,0.570389749,3.937772142,8.22E-05,0.006477442,FDR < 0.05
Glyma.04G143500,19.13089288,2.23067337,0.391178307,5.70244651,1.18E-08,8.77E-06,FDR < 0.05
Glyma.02G297100,18.28500279,2.215777299,0.676885098,3.273491031,0.001062278,0.040217571,FDR < 0.05
Glyma.18G167600,5.895896387,-2.208975499,0.60804357,-3.632923046,0.000280229,0.015666169,FDR < 0.05
Glyma.02G042300,40.33397527,2.204855377,0.473117894,4.660266297,3.16E-06,0.000565617,FDR < 0.05
Glyma.04G100300,146.3194632,2.204092352,0.685354416,3.215989131,0.001299958,0.045558437,FDR < 0.05
Glyma.16G119900,113.3376519,-2.198214891,0.395450121,-5.558766517,2.72E-08,1.66E-05,FDR < 0.05
Glyma.03G029900,46.0354529,-2.196394858,0.56643774,-3.877557413,0.00010551,0.007755898,FDR < 0.05
Glyma.03G104800,42.15250505,2.185145238,0.521716483,4.188376851,2.81E-05,0.002990503,FDR < 0.05
