,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
Glyma.10G194300,51.8596005,1.058406031,0.23602311,4.484332205,7.31E-06,0.002171228,FDR < 0.005
Glyma.13G215500,271.8585942,1.05687342,0.202029118,5.231292558,1.68E-07,6.60E-05,FDR < 0.005
Glyma.13G212500,2468.297621,1.046712022,0.198135503,5.282809013,1.27E-07,5.14E-05,FDR < 0.005
Glyma.13G205000,117.7628979,1.035040132,0.181381178,5.706436273,1.15E-08,5.45E-06,FDR < 0.005
Glyma.13G206000,153.9894197,1.034309967,0.125381078,8.249330623,1.59E-16,1.64E-13,FDR < 0.005
Glyma.13G206100,118.7773146,1.031324166,0.172876569,5.965667707,2.44E-09,1.26E-06,FDR < 0.005
Glyma.13G204800,243.8872259,1.029804466,0.190943083,5.393253589,6.92E-08,2.93E-05,FDR < 0.005
Glyma.13G215800,73.77223213,1.021668325,0.229496465,4.451782408,8.52E-06,0.002508967,FDR < 0.005
Glyma.13G216800,293.2253785,1.019530906,0.118067103,8.635181872,5.86E-18,8.21E-15,FDR < 0.005
Glyma.13G208800,179.1781831,1.016848644,0.147952188,6.872819247,6.29E-12,4.33E-09,FDR < 0.005
Glyma.17G087900,179.7226224,1.01528452,0.172683208,5.879462928,4.12E-09,2.02E-06,FDR < 0.005
Glyma.13G217600,3176.227232,1.004381377,0.079023354,12.70993099,5.21E-37,4.08E-33,FDR < 0.005
Glyma.13G208500,873.7537806,1.002037666,0.117733093,8.511096096,1.72E-17,2.11E-14,FDR < 0.005
Glyma.13G210300,671.7990909,0.993829174,0.08925859,11.13426921,8.54E-29,3.72E-25,FDR < 0.005
Glyma.13G205700,472.5028892,0.988854976,0.120729291,8.190679921,2.60E-16,2.54E-13,FDR < 0.005
Glyma.13G215300,70.13458765,0.984686382,0.213585022,4.610278259,4.02E-06,0.001260566,FDR < 0.005
Glyma.13G208600,382.8608964,0.976560252,0.123795825,7.888474837,3.06E-15,2.66E-12,FDR < 0.005
Glyma.13G209700,203.332891,0.974984076,0.179806152,5.422417793,5.88E-08,2.53E-05,FDR < 0.005
Glyma.07G260100,67.38651048,0.9748987,0.212826817,4.580713621,4.63E-06,0.001418559,FDR < 0.005
Glyma.07G069500,185.5418843,0.967695107,0.221834971,4.362229728,1.29E-05,0.003527754,FDR < 0.005
Glyma.13G204100,598.4622444,0.966171237,0.188993431,5.112194815,3.18E-07,0.000119977,FDR < 0.005
Glyma.13G211900,433.7335507,0.956701922,0.138452007,6.909989581,4.85E-12,3.45E-09,FDR < 0.005
Glyma.13G207800,1114.968097,0.954266737,0.214732734,4.443974228,8.83E-06,0.002563278,FDR < 0.005
Glyma.13G209200,343.3110433,0.948562105,0.143570823,6.606928108,3.92E-11,2.33E-08,FDR < 0.005
Glyma.13G214300,412.3892951,0.941328877,0.113583559,8.287545151,1.16E-16,1.26E-13,FDR < 0.005
Glyma.13G203300,184.8686285,0.939861028,0.149739376,6.276645799,3.46E-10,1.91E-07,FDR < 0.005
Glyma.13G204000,445.801246,0.925229287,0.155669583,5.943545724,2.79E-09,1.40E-06,FDR < 0.005
Glyma.13G207200,347.0868931,0.905973889,0.091226872,9.930998016,3.05E-23,6.39E-20,FDR < 0.005
Glyma.13G204700,1034.476438,0.895126291,0.113716854,7.87153585,3.50E-15,2.98E-12,FDR < 0.005
Glyma.13G213500,686.7633416,0.892112073,0.105178114,8.481917367,2.22E-17,2.63E-14,FDR < 0.005
Glyma.06G179500,273.7361144,0.890821793,0.202431848,4.400601008,1.08E-05,0.003043144,FDR < 0.005
Glyma.13G215900,1501.725796,0.888278583,0.112229291,7.914855135,2.48E-15,2.26E-12,FDR < 0.005
Glyma.13G205500,80.66337883,0.886422426,0.164712505,5.381634038,7.38E-08,3.08E-05,FDR < 0.005
Glyma.15G033400,112.8865922,0.881432901,0.155538074,5.66699122,1.45E-08,6.62E-06,FDR < 0.005
Glyma.05G076800,897.6116512,0.869846679,0.150770984,5.769324155,7.96E-09,3.85E-06,FDR < 0.005
Glyma.19G022200,420.7765403,0.864632351,0.199213543,4.340228779,1.42E-05,0.003846368,FDR < 0.005
Glyma.13G214600,20808.51932,0.862257895,0.199826749,4.315027394,1.60E-05,0.004168736,FDR < 0.005
Glyma.14G192800,155.7954742,-0.843483232,0.138876994,-6.073599421,1.25E-09,6.71E-07,FDR < 0.005
Glyma.13G212200,947.9230258,0.830926553,0.111625562,7.44387339,9.78E-14,7.82E-11,FDR < 0.005
Glyma.13G217200,1301.843942,0.830653321,0.146116207,5.684881487,1.31E-08,6.11E-06,FDR < 0.005
Glyma.13G211300,3364.277321,0.821225496,0.112755388,7.283248388,3.26E-13,2.55E-10,FDR < 0.005
Glyma.17G235300,291.1333864,0.799735521,0.187463142,4.266094724,1.99E-05,0.004996572,FDR < 0.005
Glyma.13G205900,1081.696762,0.799667597,0.115723468,6.910159271,4.84E-12,3.45E-09,FDR < 0.005
Glyma.13G207900,1759.374268,0.795384276,0.116467213,6.829254827,8.54E-12,5.48E-09,FDR < 0.005
Glyma.03G144400,994.1630283,-0.788728341,0.167585714,-4.706417521,2.52E-06,0.000823216,FDR < 0.005
Glyma.13G213600,305.7355493,0.78101414,0.147806933,5.284015612,1.26E-07,5.14E-05,FDR < 0.005
Glyma.13G205600,12481.05166,0.777541898,0.117857439,6.597308599,4.19E-11,2.45E-08,FDR < 0.005
Glyma.13G217100,5673.108849,0.771515575,0.157136785,4.909834296,9.12E-07,0.000316084,FDR < 0.005
Glyma.15G033500,249.1332361,-0.770889841,0.137132768,-5.621485319,1.89E-08,8.53E-06,FDR < 0.005
Glyma.13G209400,513.6840785,0.764706186,0.117741645,6.494780893,8.32E-11,4.79E-08,FDR < 0.005
Glyma.13G214900,550.2663973,0.748328451,0.150170426,4.983194569,6.25E-07,0.000226915,FDR < 0.005
Glyma.18G290200,78.88603448,0.738780857,0.171054172,4.318987652,1.57E-05,0.004149971,FDR < 0.005
Glyma.06G064500,113.7741313,0.735802891,0.162259541,4.534728053,5.77E-06,0.001738496,FDR < 0.005
Glyma.13G212700,624.6438139,0.717530557,0.111175113,6.454057355,1.09E-10,6.10E-08,FDR < 0.005
Glyma.13G213100,167.5342717,0.710644486,0.141323667,5.028488854,4.94E-07,0.000184486,FDR < 0.005
