"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Glyma.18G257200",8.89764756482839,-2.26842578670715,0.50335598648324,-4.50660337340139,6.58736002839352e-06,0.00497895034727401,"FDR < 0.05"
"Glyma.07G224300",21.2092333396844,-2.203414232061,0.535718411105191,-4.11300822668264,3.90536462963461e-05,0.0210522804655786,"FDR < 0.05"
"Glyma.18G211700",12.1434417102638,2.13540631814934,0.437659076266543,4.87915465244193,1.0654149981446e-06,0.00104365810239301,"FDR < 0.05"
"Glyma.05G095400",22.2816112986904,-2.11932619554605,0.51449976490972,-4.11919759753034,3.80194017815074e-05,0.0208122678222769,"FDR < 0.05"
"Glyma.14G136300",13.7368253453733,2.09353376878293,0.537898539879491,3.89206070210184,9.93963667964398e-05,0.0443339897681951,"FDR < 0.05"
"Glyma.02G107800",16.4697340111045,-2.04011282224021,0.377092914323315,-5.41010648768393,6.29872839090718e-08,7.81546218743763e-05,"FDR < 0.05"
"Glyma.10G158300",73.1537857966372,-1.99603931988939,0.184011194770704,-10.8473798149979,2.05224217880916e-27,1.09132375519989e-23,"FDR < 0.05"
"Glyma.04G143500",20.2666923180325,-1.94060985534067,0.413219462374292,-4.69631765210244,2.64893492955186e-06,0.00219119897372529,"FDR < 0.05"
"Glyma.08G264700",29.8250222654475,1.86632960861154,0.326586218648799,5.71466125035279,1.09922772436091e-08,1.63670611246442e-05,"FDR < 0.05"
"Glyma.05G242000",16.4989927876791,1.80983273749298,0.47036969979168,3.84768138401459,0.000119240989322487,0.0478235309511072,"FDR < 0.05"
"Glyma.U026100",10.752422907115,-1.69490770115997,0.398649424174858,-4.25162460642746,2.12225376511132e-05,0.0127417377665329,"FDR < 0.05"
"Glyma.08G360700",18.5115110599893,1.68578392126303,0.403730528001367,4.17551758993397,2.97309278315318e-05,0.0170262162707837,"FDR < 0.05"
"Glyma.12G132600",71.799679193921,-1.59379934265578,0.301366053646757,-5.28858284922804,1.23267653990938e-07,0.00014801661781157,"FDR < 0.05"
"Glyma.10G067800",1331.25231843466,-1.37104613845377,0.154914640878515,-8.85033287156476,8.72586431639326e-19,2.70676311094519e-15,"FDR < 0.05"
"Glyma.02G197700",30.2052807167597,-1.27833509742402,0.287131394854052,-4.45209099504354,8.50381127269973e-06,0.00608742059259567,"FDR < 0.05"
"Glyma.19G187400",88.4637524446334,1.27420737850806,0.283105324136807,4.50082449841993,6.76903794914112e-06,0.00497895034727401,"FDR < 0.05"
"Glyma.09G126400",85.0404177532318,-1.26923096736583,0.242284851087702,-5.23858987331568,1.61808173941147e-07,0.00018822335833704,"FDR < 0.05"
"Glyma.17G158900",33.3709444182884,-1.25714407308952,0.325769663349144,-3.85899675299777,0.000113853450271605,0.0476188857630362,"FDR < 0.05"
"Glyma.12G110700",98.5477282017297,1.18732916391038,0.196626255415024,6.03850773338615,1.55545974461739e-09,2.7571635016018e-06,"FDR < 0.05"
"Glyma.05G217000",25.7282477366255,1.18561657042114,0.266855179033225,4.44292134301627,8.87456156771262e-06,0.00623295622257612,"FDR < 0.05"
"Glyma.15G176900",338.691734915694,-1.07621297374126,0.274310081382566,-3.92334458987792,8.73281057133346e-05,0.0406337675884146,"FDR < 0.05"
"Glyma.04G101400",23.8843757809963,1.07068601523536,0.270112918600153,3.96384601219423,7.37518360394574e-05,0.0351966454452918,"FDR < 0.05"
"Glyma.08G341600",546.922857113766,-1.04911849061032,0.272305598249394,-3.85272464963968,0.000116810723228678,0.0478235309511072,"FDR < 0.05"
"Glyma.02G139000",61.5537951155905,1.04183175411389,0.220310289447446,4.72892916952211,2.25707101679255e-06,0.0019094820802065,"FDR < 0.05"
"Glyma.11G051600",320.695806975314,-0.982433416190795,0.206901481492141,-4.74831503914636,2.05118353055824e-06,0.00181108195847173,"FDR < 0.05"
"Glyma.06G000100",247.650224099793,0.962084340856257,0.111581580937947,8.62225048945393,6.56508992116372e-18,1.87983774788768e-14,"FDR < 0.05"
"Glyma.02G111300",86.4621757057354,0.927643828912773,0.221025732922975,4.19699469670369,2.70480264546135e-05,0.0157318083866646,"FDR < 0.05"
"Glyma.12G202600",153.795299951136,0.896875662201175,0.231881540535664,3.8678182839795,0.000109813446244076,0.0475313456161567,"FDR < 0.05"
"Glyma.03G189600",2167.12824079765,-0.892928488490345,0.230659830797699,-3.87119198606145,0.000108304447662136,0.0474297030561805,"FDR < 0.05"
"Glyma.15G076800",251.559739097763,-0.855662730408327,0.190181890975599,-4.49918089476833,6.82157929591055e-06,0.00497895034727401,"FDR < 0.05"
"Glyma.01G035600",95.4802339366567,0.842691606703653,0.197881966872221,4.25855685600601,2.05750891430662e-05,0.012555526528877,"FDR < 0.05"
"Glyma.15G066100",114.776277171329,0.837373361454,0.212670368975407,3.93742374872559,8.23610909890609e-05,0.0388077120376811,"FDR < 0.05"
"Glyma.20G248100",544.218698079668,-0.810717834699308,0.186613447976207,-4.34436983771219,1.396760307762e-05,0.00928446530288081,"FDR < 0.05"
"Glyma.02G019500",84.3951343788086,0.804595544215837,0.188849836499345,4.26050431988924,2.03966139792936e-05,0.012555526528877,"FDR < 0.05"
"Glyma.17G106600",1041.23789406285,-0.799090603698836,0.180208545183028,-4.43425478457329,9.2391311722786e-06,0.00636884108809072,"FDR < 0.05"
"Glyma.09G092100",447.748499754378,-0.757964386417215,0.187142619522615,-4.05019652044369,5.117463800709e-05,0.0260948592489852,"FDR < 0.05"
"Glyma.14G000100",54.5347728694567,0.708371332039785,0.171680937169534,4.12609194543405,3.68979797149827e-05,0.0204998566703062,"FDR < 0.05"
"Glyma.13G164300",628.777657398894,-0.698920323007247,0.17019486613831,-4.10658875244371,4.01545216273394e-05,0.0210522804655786,"FDR < 0.05"
"Glyma.18G290200",73.446071516754,0.69001673337365,0.168761793359728,4.08870230421662,4.33793131797146e-05,0.0224271049139125,"FDR < 0.05"
"Glyma.15G082000",506.42715592934,-0.649212700938765,0.118820735506154,-5.46379971621315,4.6604934297693e-08,5.98214508378388e-05,"FDR < 0.05"
"Glyma.03G189900",4326.41890987337,-0.637176948085349,0.165468627662136,-3.8507417211822,0.000117760637725559,0.0478235309511072,"FDR < 0.05"
"Glyma.18G120100",170.671551533759,-0.62317670645789,0.137582204889594,-4.52948625847341,5.91272794849778e-06,0.00458532052406003,"FDR < 0.05"
"Glyma.20G071600",382.435423569505,-0.602683284319856,0.125067659671237,-4.81885793580944,1.44382311704367e-06,0.00137807363355983,"FDR < 0.05"
"Glyma.11G118000",182.996727224747,0.593249839183761,0.153695897373767,3.85989378585078,0.000113436320246002,0.0476188857630362,"FDR < 0.05"
"Glyma.06G052500",105.781369030244,0.55633388126216,0.137733919733136,4.03919297686493,5.36354244026745e-05,0.0266203338395354,"FDR < 0.05"
"Glyma.05G209700",375.511348958561,-0.555818593215057,0.113796438945462,-4.88432325620872,1.0378468901456e-06,0.00104365810239301,"FDR < 0.05"
"Glyma.12G058000",663.407685030465,-0.554123370925081,0.139529410838099,-3.97137325813014,7.14595150204217e-05,0.034545571261301,"FDR < 0.05"
"Glyma.06G317500",762.0394098886,-0.529945901549728,0.137197970804783,-3.86263658595783,0.000112169812630041,0.0476188857630362,"FDR < 0.05"
"Glyma.08G210500",1096.33951895161,-0.484456725479393,0.116986075620706,-4.14114861883311,3.45570951777115e-05,0.0194902016802293,"FDR < 0.05"
"Glyma.15G087200",1177.3228257156,-0.472990945015601,0.101874605015849,-4.64287390308917,3.43596066544334e-06,0.00278043912631441,"FDR < 0.05"
"Glyma.01G014900",135.456842632286,-0.472610484556442,0.122845725116141,-3.84718706417849,0.000119481742382682,0.0478235309511072,"FDR < 0.05"
"Glyma.05G000700",6311.63015461045,-0.472455123626808,0.112558481404747,-4.19741913475108,2.69974008657661e-05,0.0157318083866646,"FDR < 0.05"
"Glyma.02G036000",7904.24319389039,-0.468231945263145,0.113944303776598,-4.10930542154327,3.96850931324489e-05,0.0210522804655786,"FDR < 0.05"
"Glyma.08G084300",3011.83185224142,-0.432848420071505,0.107068328934064,-4.04273069712396,5.28322889040032e-05,0.0265760692184137,"FDR < 0.05"
"Glyma.12G020200",372.742764027056,-0.400739313702921,0.103005001778829,-3.89048402293495,0.000100044464338287,0.0443339897681951,"FDR < 0.05"
"Glyma.09G200700",280.952472470274,-0.382963737574824,0.0978393367263116,-3.91421027971702,9.07005683022695e-05,0.0416819500553541,"FDR < 0.05"
"Glyma.04G111900",434.776429439869,0.317524349215672,0.079292120940495,4.00448803045588,6.21519378085077e-05,0.0304413649076828,"FDR < 0.05"
